SiteCode,MT,MTLabel,MTGroup,DateOut,NetSTN,BillCustomerType
27,100,Refuse,REFUSE,2022-05-31,12.04,Contained
27,100,Refuse,REFUSE,2022-05-31,9.45,Contained
27,100,Refuse,REFUSE,2022-05-31,7.83,Contained
27,100,Refuse,REFUSE,2022-05-31,6.46,Contained
27,100,Refuse,REFUSE,2022-05-31,3.03,Special Ops
27,100,Refuse,REFUSE,2022-05-31,8.06,Contained
27,200,Recycle,RECYCLE,2022-05-31,5.41,Contained
27,200,Recycle,RECYCLE,2022-05-31,0.81,Special Ops
27,100,Refuse,REFUSE,2022-05-31,1.11,Other Dept
27,200,Recycle,RECYCLE,2022-05-31,1.61,Special Ops
27,100,Refuse,REFUSE,2022-05-31,9.01,Other Dept
27,100,Refuse,REFUSE,2022-05-31,0.59,AR
27,100,Refuse,REFUSE,2022-05-31,0.9,Non-Profit
27,300,Green,GREEN,2022-05-31,1.13,AR
NG,100,Refuse,REFUSE,2022-05-31,2.25,AR
27,200,Recycle,RECYCLE,2022-05-31,6.5,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.89,Contained
27,200,Recycle,RECYCLE,2022-05-31,6.63,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.85,Contained
27,100,Refuse,REFUSE,2022-05-31,2.44,Contained
27,100,Refuse,REFUSE,2022-05-31,2.54,Contained
NG,100,Refuse,REFUSE,2022-05-31,8.7,Contained
NG,100,Refuse,REFUSE,2022-05-31,4.45,Other Dept
27,100,Refuse,REFUSE,2022-05-31,7.78,Contained
27,100,Refuse,REFUSE,2022-05-31,6.52,Contained
27,100,Refuse,REFUSE,2022-05-31,8.51,Contained
27,100,Refuse,REFUSE,2022-05-31,5.42,Special Ops
27,100,Refuse,REFUSE,2022-05-31,0.9,AR
NG,100,Refuse,REFUSE,2022-05-31,5.02,Special Ops
27,100,Refuse,REFUSE,2022-05-31,7.84,Contained
27,100,Refuse,REFUSE,2022-05-31,8.81,Contained
27,100,Refuse,REFUSE,2022-05-31,3.11,Contained
NG,100,Refuse,REFUSE,2022-05-31,6.91,Uncontained
27,100,Refuse,REFUSE,2022-05-31,7.03,Contained
27,100,Refuse,REFUSE,2022-05-31,0.91,AR
27,304,Wood_Pallets,GREEN,2022-05-31,0.6,Special Ops
27,100,Refuse,REFUSE,2022-05-31,11.12,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.67,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.64,Contained
NG,200,Recycle,RECYCLE,2022-05-31,2.35,Reciprocal
NG,100,Refuse,REFUSE,2022-05-31,2.27,AR
27,100,Refuse,REFUSE,2022-05-31,8.8,Contained
27,100,Refuse,REFUSE,2022-05-31,7.87,Contained
27,300,Green,GREEN,2022-05-31,2.22,AR
NG,100,Refuse,REFUSE,2022-05-31,0.81,AR
27,100,Refuse,REFUSE,2022-05-31,8.83,Contained
27,100,Refuse,REFUSE,2022-05-31,10.56,Contained
NG,100,Refuse,REFUSE,2022-05-31,0.46,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,7.44,Uncontained
27,100,Refuse,REFUSE,2022-05-31,7.72,Uncontained
27,200,Recycle,RECYCLE,2022-05-31,3.94,Contained
27,200,Recycle,RECYCLE,2022-05-31,2.89,Contained
27,100,Refuse,REFUSE,2022-05-31,2.67,Contained
27,100,Refuse,REFUSE,2022-05-31,9.67,Contained
NG,100,Refuse,REFUSE,2022-05-31,1.11,AR
27,200,Recycle,RECYCLE,2022-05-31,3.57,Contained
27,100,Refuse,REFUSE,2022-05-31,6.67,Contained
27,300,Green,GREEN,2022-05-31,6.88,Other Dept
NG,200,Recycle,RECYCLE,2022-05-31,4.88,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,3.23,Reciprocal
27,200,Recycle,RECYCLE,2022-05-31,3.83,Contained
27,300,Green,GREEN,2022-05-31,3.61,Contained
27,100,Refuse,REFUSE,2022-05-31,9.73,Contained
27,100,Refuse,REFUSE,2022-05-31,1.89,AR
27,100,Refuse,REFUSE,2022-05-31,10.03,Contained
NG,200,Recycle,RECYCLE,2022-05-31,0.77,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,7.55,Uncontained
27,100,Refuse,REFUSE,2022-05-31,11.31,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,5.62,Uncontained
27,100,Refuse,REFUSE,2022-05-31,6.73,Contained
27,100,Refuse,REFUSE,2022-05-31,8.1,Uncontained
27,100,Refuse,REFUSE,2022-05-31,8.6,Contained
27,200,Recycle,RECYCLE,2022-05-31,2.65,Contained
27,100,Refuse,REFUSE,2022-05-31,10.11,Contained
27,100,Refuse,REFUSE,2022-05-31,0.78,Other Dept
27,100,Refuse,REFUSE,2022-05-31,6.11,Contained
27,200,Recycle,RECYCLE,2022-05-31,2.67,Contained
27,100,Refuse,REFUSE,2022-05-31,9.7,Contained
27,100,Refuse,REFUSE,2022-05-31,6.56,Uncontained
NG,200,Recycle,RECYCLE,2022-05-31,4.21,Reciprocal
27,200,Recycle,RECYCLE,2022-05-31,3.14,Contained
27,100,Refuse,REFUSE,2022-05-31,9.46,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.69,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.14,Contained
27,100,Refuse,REFUSE,2022-05-31,7.83,Contained
NG,100,Refuse,REFUSE,2022-05-31,13.39,Reciprocal
27,200,Recycle,RECYCLE,2022-05-31,6.51,Contained
27,100,Refuse,REFUSE,2022-05-31,7.58,Contained
27,100,Refuse,REFUSE,2022-05-31,7.06,Contained
NG,200,Recycle,RECYCLE,2022-05-31,1.05,Reciprocal
27,300,Green,GREEN,2022-05-31,4.42,Contained
NG,100,Refuse,REFUSE,2022-05-31,2.09,AR
27,200,Recycle,RECYCLE,2022-05-31,3.13,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.18,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.36,Contained
27,100,Refuse,REFUSE,2022-05-31,7.12,Contained
27,100,Refuse,REFUSE,2022-05-31,6.95,Contained
27,100,Refuse,REFUSE,2022-05-31,9.52,Contained
27,100,Refuse,REFUSE,2022-05-31,9.02,Contained
27,100,Refuse,REFUSE,2022-05-31,7.1,Contained
27,100,Refuse,REFUSE,2022-05-31,4.02,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.88,Contained
NG,100,Refuse,REFUSE,2022-05-31,0.68,AR
27,100,Refuse,REFUSE,2022-05-31,8.4,Uncontained
NG,200,Recycle,RECYCLE,2022-05-31,3.4,Contained
27,100,Refuse,REFUSE,2022-05-31,5.46,Uncontained
27,200,Recycle,RECYCLE,2022-05-31,3.34,Contained
NG,200,Recycle,RECYCLE,2022-05-31,2.84,Contained
27,100,Refuse,REFUSE,2022-05-31,7.5,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.46,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.96,Contained
27,100,Refuse,REFUSE,2022-05-31,10.26,Contained
27,100,Refuse,REFUSE,2022-05-31,6.79,Contained
NG,200,Recycle,RECYCLE,2022-05-31,3.08,Reciprocal
NG,300,Green,GREEN,2022-05-31,0.89,AR
NG,200,Recycle,RECYCLE,2022-05-31,1.83,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,8,Uncontained
27,100,Refuse,REFUSE,2022-05-31,8.83,Uncontained
27,100,Refuse,REFUSE,2022-05-31,10.22,Uncontained
27,200,Recycle,RECYCLE,2022-05-31,2.15,Contained
NG,100,Refuse,REFUSE,2022-05-31,7.19,Contained
27,100,Refuse,REFUSE,2022-05-31,9.03,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.06,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.29,Contained
27,200,Recycle,RECYCLE,2022-05-31,4.15,Contained
27,100,Refuse,REFUSE,2022-05-31,7.86,Uncontained
27,200,Recycle,RECYCLE,2022-05-31,2.51,Contained
27,100,Refuse,REFUSE,2022-05-31,9.34,Uncontained
NG,200,Recycle,RECYCLE,2022-05-31,1.78,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,3.85,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,0.75,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,0.66,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,10.46,Contained
NG,100,Refuse,REFUSE,2022-05-31,1.15,AR
NG,200,Recycle,RECYCLE,2022-05-31,3.85,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,10.54,Contained
NG,200,Recycle,RECYCLE,2022-05-31,3.31,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,8.39,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.54,Contained
27,100,Refuse,REFUSE,2022-05-31,8.79,Contained
NG,200,Recycle,RECYCLE,2022-05-31,4.18,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,3.22,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,12.13,AR
NG,200,Recycle,RECYCLE,2022-05-31,3.52,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,3.4,Reciprocal
NG,100,Refuse,REFUSE,2022-05-31,0.92,AR
27,100,Refuse,REFUSE,2022-05-31,1.99,AR
NG,200,Recycle,RECYCLE,2022-05-31,2.85,Reciprocal
SR,476,Dewatered Sludge,LANDFILL,2022-05-31,23.7,Other Dept
SR,476,Dewatered Sludge,LANDFILL,2022-05-31,25.26,Other Dept
27,100,Refuse,REFUSE,2022-05-31,6.59,Contained
27,200,Recycle,RECYCLE,2022-05-31,3.67,Contained
27,100,Refuse,REFUSE,2022-05-31,7.54,Contained
27,100,Refuse,REFUSE,2022-05-31,7.71,Contained
27,200,Recycle,RECYCLE,2022-05-31,6.61,Contained
27,100,Refuse,REFUSE,2022-05-31,4.93,Contained
27,100,Refuse,REFUSE,2022-05-31,1.35,AR
27,200,Recycle,RECYCLE,2022-05-31,3.88,Contained
NG,100,Refuse,REFUSE,2022-05-31,5.96,Reciprocal
NG,100,Refuse,REFUSE,2022-05-31,0.3,AR
NG,200,Recycle,RECYCLE,2022-05-31,3.44,Reciprocal
NG,100,Refuse,REFUSE,2022-05-31,6.3,Reciprocal
NG,100,Refuse,REFUSE,2022-05-31,6.31,Contained
NG,100,Refuse,REFUSE,2022-05-31,2.91,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,3.93,Reciprocal
NG,100,Refuse,REFUSE,2022-05-31,15.65,Reciprocal
NG,200,Recycle,RECYCLE,2022-05-31,4.18,Reciprocal
27,100,Refuse,REFUSE,2022-05-31,8.43,Contained
27,200,Recycle,RECYCLE,2022-05-31,7.18,Contained
27,100,Refuse,REFUSE,2022-05-31,4.93,Contained
27,100,Refuse,REFUSE,2022-05-31,4.08,Contained
27,100,Refuse,REFUSE,2022-05-31,8.4,Contained
27,100,Refuse,REFUSE,2022-05-31,5.18,Contained
27,100,Refuse,REFUSE,2022-05-31,3.35,Contained
27,100,Refuse,REFUSE,2022-05-31,9.81,Contained
27,100,Refuse,REFUSE,2022-05-31,4.87,Non-Profit
27,100,Refuse,REFUSE,2022-05-31,9.05,Reciprocal
27,200,Recycle,RECYCLE,2022-05-31,4.9,Contained
27,100,Refuse,REFUSE,2022-05-31,11.01,Contained
NG,200,Recycle,RECYCLE,2022-05-31,19.32,AR
NG,200,Recycle,RECYCLE,2022-05-31,3.3,Reciprocal
