NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
1.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
1.38,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
2.85,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
0.49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4576 
1.08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
0.61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4576 
5.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
1.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4576 
10.69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
10.34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
10.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
10.56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
8.83,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
1.86,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4576 
0.88,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
1.24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4576 
10.04,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
1.06,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4576 
0.99,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
0.81,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4576 
10.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
5.52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
8.88,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
8.65,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
1.12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4576 
4.68,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
5.68,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
2.86,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
5.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
8.26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4576 
7.34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4576 
3.26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4576 
3.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
10.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
4.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
3.61,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4576 
7.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
7.94,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
10.19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
10.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
4.58,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
11.76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
5.21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4576 
12.02,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4576 
4.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
4.87,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4576 
