NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
7.96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
9.95,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
5.04,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
4.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
5.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
2.34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
2.49,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
0.74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
8.64,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
11.09,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
0.91,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4332 
5.16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
8.35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
10.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
9.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
7.91,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
7.7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
4.1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4332 
6.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
7.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
4.73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
11.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
5.51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4332 
8.67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
4.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
8.43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4332 
2.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4332 
23.85,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4332 
23.42,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4332 
