NetSTN,GREEN,LANDFILL,RECYCLE,REFUSE,AR,Commercial,Contained,Non-Profit,Other,Other Dept,Reciprocal,Residential,Special Ops,Uncontained,DateOut
2.19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
23.99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4485 
4.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
10.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
8.49,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
3.37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
6.42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
4.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
3.19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
8.51,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
6.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
6.68,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
6.96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
2.13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
3.65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
6.79,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
8.25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
3.77,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
7.43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
8.48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
10.89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
7.17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
1.77,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
6.94,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
7.29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
2.72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
0.81,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4485 
0.64,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4485 
10.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
7.03,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
9.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
12.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
6.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
2.02,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4485 
3.49,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4485 
1.08,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
1.02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
2.87,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4485 
1.68,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
1.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4485 
8.97,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
3.65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4485 
1.88,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4485 
3.89,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4485 
10.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4485 
