Charge Year,Month Name,Month Date,Customer Class,Consumption
2004,September,Sep 2004,Commercial,1184803
2004,September,Sep 2004,Interdepartmental,220139
2004,September,Sep 2004,Other,146141
2004,October,Oct 2004,Other,113723
2004,October,Oct 2004,Interdepartmental,150860
2004,October,Oct 2004,Residential,1393662
2004,October,Oct 2004,Commercial,1041278
2004,November,Nov 2004,Other,79934
2004,November,Nov 2004,Interdepartmental,79732
2004,November,Nov 2004,Commercial,968620
2004,November,Nov 2004,Residential,1235442
2004,December,Dec 2004,Residential,1057958
2004,December,Dec 2004,Commercial,854813
2004,December,Dec 2004,Interdepartmental,56661
2004,December,Dec 2004,Other,57868
2005,January,Jan 2005,Other,44050
2005,January,Jan 2005,Interdepartmental,21957
2005,January,Jan 2005,Commercial,728879
2005,January,Jan 2005,Residential,900573.4
2005,February,Feb 2005,Residential,792197
2005,February,Feb 2005,Commercial,663887
2005,February,Feb 2005,Interdepartmental,16682
2005,February,Feb 2005,Other,38863
2005,March,Mar 2005,Residential,807749
2005,March,Mar 2005,Commercial,669046
2005,March,Mar 2005,Interdepartmental,15550
2005,March,Mar 2005,Other,43297
2005,April,Apr 2005,Other,67826
2005,April,Apr 2005,Interdepartmental,39920
2005,April,Apr 2005,Commercial,785101
2005,April,Apr 2005,Residential,1083120
2005,May,May 2005,Other,109077
2005,May,May 2005,Interdepartmental,97961
2005,May,May 2005,Commercial,920504
2005,May,May 2005,Residential,1324806
2005,June,Jun 2005,Other,140671
2005,June,Jun 2005,Interdepartmental,140728
2005,June,Jun 2005,Commercial,1129814
2005,June,Jun 2005,Residential,1663780
2005,July,Jul 2005,Residential,1803608
2005,July,Jul 2005,Commercial,1243333
2005,July,Jul 2005,Interdepartmental,176846
2005,July,Jul 2005,Other,158600
2005,August,Aug 2005,Commercial,1187066
2005,August,Aug 2005,Residential,1574541
2005,August,Aug 2005,Interdepartmental,143416
2005,August,Aug 2005,Other,145048
2005,September,Sep 2005,Residential,1538289
2005,September,Sep 2005,Commercial,1135730
2005,September,Sep 2005,Interdepartmental,141783
2005,September,Sep 2005,Other,134582
2005,October,Oct 2005,Other,124685
2005,October,Oct 2005,Interdepartmental,127556
2005,October,Oct 2005,Commercial,1047421
2005,October,Oct 2005,Residential,1449821
2005,November,Nov 2005,Residential,1342862
2005,November,Nov 2005,Commercial,1067409
2005,November,Nov 2005,Interdepartmental,107715
2005,November,Nov 2005,Other,106484
2005,December,Dec 2005,Residential,1234618
2005,December,Dec 2005,Commercial,1045306
2005,December,Dec 2005,Interdepartmental,62663
2005,December,Dec 2005,Other,86003
2006,January,Jan 2006,Residential,1098887
2006,January,Jan 2006,Commercial,922114
2006,January,Jan 2006,Interdepartmental,60303
2006,January,Jan 2006,Other,65409
2006,February,Feb 2006,Interdepartmental,43810
2006,February,Feb 2006,Other,64916
2006,February,Feb 2006,Commercial,858752
2006,February,Feb 2006,Residential,1029627
2006,March,Mar 2006,Other,64555
2006,March,Mar 2006,Interdepartmental,50165
2006,March,Mar 2006,Commercial,840486
2006,March,Mar 2006,Residential,1027599
2006,April,Apr 2006,Other,73959
2006,April,Apr 2006,Interdepartmental,59228
2006,April,Apr 2006,Commercial,829862
2006,April,Apr 2006,Residential,1059087
2006,May,May 2006,Residential,1354208
2006,May,May 2006,Commercial,1001826
2006,May,May 2006,Interdepartmental,87979
2006,May,May 2006,Other,112351
2006,June,Jun 2006,Other,155482
2006,June,Jun 2006,Commercial,1241003
2006,June,Jun 2006,Interdepartmental,147813
2006,June,Jun 2006,Residential,1706808
2006,July,Jul 2006,Residential,1778431
2006,July,Jul 2006,Commercial,1337127
2006,July,Jul 2006,Interdepartmental,170277
2006,July,Jul 2006,Other,153087
2006,August,Aug 2006,Other,124303
2006,August,Aug 2006,Interdepartmental,130994
2006,August,Aug 2006,Commercial,1234699
2006,August,Aug 2006,Residential,1570891
2006,September,Sep 2006,Residential,1378436
2006,September,Sep 2006,Commercial,1102344
2006,September,Sep 2006,Interdepartmental,103601
2006,September,Sep 2006,Other,117583
2006,October,Oct 2006,Other,103190
2006,October,Oct 2006,Interdepartmental,102564
2006,October,Oct 2006,Commercial,966136
2006,October,Oct 2006,Residential,1301057
2006,November,Nov 2006,Other,92100
2006,November,Nov 2006,Interdepartmental,63422
2006,November,Nov 2006,Commercial,1012531
2006,November,Nov 2006,Residential,1276320
2006,December,Dec 2006,Residential,1181148
2006,December,Dec 2006,Commercial,1003958
2006,December,Dec 2006,Interdepartmental,48796
2006,December,Dec 2006,Other,79011
2007,January,Jan 2007,Residential,974656
2007,January,Jan 2007,Commercial,836251
2007,January,Jan 2007,Interdepartmental,28906
2007,January,Jan 2007,Other,53451
2007,February,Feb 2007,Other,49934
2007,February,Feb 2007,Interdepartmental,21903
2007,February,Feb 2007,Commercial,765577
2007,February,Feb 2007,Residential,885638
2007,March,Mar 2007,Residential,1002334
2007,March,Mar 2007,Commercial,804486
2007,March,Mar 2007,Other,55975
2007,March,Mar 2007,Interdepartmental,29936
2007,April,Apr 2007,Interdepartmental,56560
2007,April,Apr 2007,Other,74874
2007,April,Apr 2007,Commercial,853069
2007,April,Apr 2007,Residential,1127489
2007,May,May 2007,Commercial,947304
2007,May,May 2007,Residential,1327637
2007,May,May 2007,Interdepartmental,97022
2007,May,May 2007,Other,104761
2007,June,Jun 2007,Interdepartmental,164840
2007,June,Jun 2007,Other,156372
2007,June,Jun 2007,Commercial,1199627
2007,June,Jun 2007,Residential,1646289
2007,July,Jul 2007,Residential,1777171
2007,July,Jul 2007,Commercial,1288212
2007,July,Jul 2007,Interdepartmental,186035
2007,July,Jul 2007,Other,175885
2007,August,Aug 2007,Residential,1520838
2007,August,Aug 2007,Commercial,1231960
2007,August,Aug 2007,Interdepartmental,160073
2007,August,Aug 2007,Other,156198
2007,September,Sep 2007,Other,154599
2007,September,Sep 2007,Interdepartmental,169569
2007,September,Sep 2007,Commercial,1209459
2007,September,Sep 2007,Residential,1589074
2007,October,Oct 2007,Residential,1444157
2007,October,Oct 2007,Commercial,1085975
2007,October,Oct 2007,Interdepartmental,128386
2007,October,Oct 2007,Other,124434
2007,November,Nov 2007,Residential,1368529
2007,November,Nov 2007,Commercial,1141336
2007,November,Nov 2007,Interdepartmental,80577
2007,November,Nov 2007,Other,113630
2007,December,Dec 2007,Interdepartmental,43168
2007,December,Dec 2007,Other,83956
2007,December,Dec 2007,Commercial,954936
2007,December,Dec 2007,Residential,1099062
2008,January,Jan 2008,Other,52400
2008,January,Jan 2008,Interdepartmental,19048
2008,January,Jan 2008,Commercial,780995
2008,January,Jan 2008,Residential,928789
2008,February,Feb 2008,Residential,847242
2008,February,Feb 2008,Commercial,746770
2008,February,Feb 2008,Interdepartmental,18415
2008,February,Feb 2008,Other,47244
2008,March,Mar 2008,Residential,929095
2008,March,Mar 2008,Commercial,754776
2008,March,Mar 2008,Other,54661
2008,March,Mar 2008,Interdepartmental,18641
2008,April,Apr 2008,Interdepartmental,30542
2008,April,Apr 2008,Other,81227
2008,April,Apr 2008,Commercial,872239
2008,April,Apr 2008,Residential,1163958
2008,May,May 2008,Other,104730
2008,May,May 2008,Interdepartmental,64938
2008,May,May 2008,Residential,1335576
2008,May,May 2008,Commercial,963317
2008,June,Jun 2008,Other,140829
2008,June,Jun 2008,Interdepartmental,129502
2008,June,Jun 2008,Commercial,1094954
2008,June,Jun 2008,Residential,1453410
2008,July,Jul 2008,Interdepartmental,160169
2008,July,Jul 2008,Residential,1585838
2008,July,Jul 2008,Commercial,1179945
2008,July,Jul 2008,Other,146168
2008,August,Aug 2008,Residential,1454799
2008,August,Aug 2008,Commercial,1161097
2008,August,Aug 2008,Interdepartmental,150308
