Month Date,Month,Year,Amount Type,Amount,Customer Type,Customer Count
10/01/2022,Oct,2022,Commercial Therms,994945,Commercial Count,2364
10/01/2022,Oct,2022,Interdepartmental Therms,13117,Interdepartmental Count,113
10/01/2022,Oct,2022,Other Public Authority Therms,210731,Other Public Authority Count,115
10/01/2022,Oct,2022,Residential Therms,667446,Residential Count,69844
11/01/2022,Nov,2022,Commercial Therms,1193779,Commercial Count,2364
11/01/2022,Nov,2022,Interdepartmental Therms,24522,Interdepartmental Count,113
11/01/2022,Nov,2022,Other Public Authority Therms,295571,Other Public Authority Count,115
11/01/2022,Nov,2022,Residential Therms,1220695,Residential Count,70197
12/01/2022,Dec,2022,Commercial Therms,1503044,Commercial Count,2381
12/01/2022,Dec,2022,Interdepartmental Therms,54329,Interdepartmental Count,113
12/01/2022,Dec,2022,Other Public Authority Therms,343104,Other Public Authority Count,115
12/01/2022,Dec,2022,Residential Therms,2467187,Residential Count,70469
01/01/2023,Jan,2023,Commercial Therms,1642469,Commercial Count,2381
01/01/2023,Jan,2023,Interdepartmental Therms,99104,Interdepartmental Count,113
01/01/2023,Jan,2023,Other Public Authority Therms,373486,Other Public Authority Count,115
01/01/2023,Jan,2023,Residential Therms,3443053,Residential Count,70539
02/01/2023,Feb,2023,Commercial Therms,1815965,Commercial Count,2378
02/01/2023,Feb,2023,Interdepartmental Therms,100033,Interdepartmental Count,113
02/01/2023,Feb,2023,Other Public Authority Therms,416811,Other Public Authority Count,114
02/01/2023,Feb,2023,Residential Therms,3856600,Residential Count,71139
03/01/2023,Mar,2023,Commercial Therms,1728198,Commercial Count,2375
03/01/2023,Mar,2023,Interdepartmental Therms,103339,Interdepartmental Count,113
03/01/2023,Mar,2023,Other Public Authority Therms,375949,Other Public Authority Count,114
03/01/2023,Mar,2023,Residential Therms,2818154,Residential Count,71379
