Date,Site_int,Month_int,SolarProductionDemand,Solar Production,TotalEnergyUsageAcrossSites
2014-10-01,6,10,65.0,17872.0,34021.0
2014-10-01,7,10,273.0,6806.0,26047.0
2014-11-01,0,9,651.0,34093.0,180551.0
2014-11-01,1,9,76.0,22643.0,33548.0
2014-11-01,2,9,29.0,758.0,8324.0
2014-11-01,3,9,38.0,1589.0,11791.0
2014-11-01,4,9,74.0,32090.0,37034.0
2014-11-01,5,9,216.0,27546.0,56269.0
2014-11-01,6,9,65.0,19883.0,33170.0
2014-11-01,7,9,268.0,6153.0,27112.0
2014-12-01,0,2,641.0,29849.0,208850.0
2014-12-01,1,2,67.0,17486.0,31735.0
2014-12-01,2,2,33.0,605.0,8976.0
2014-12-01,3,2,29.0,1193.0,11190.0
2014-12-01,4,2,90.0,26453.0,39271.0
2014-12-01,5,2,228.0,24419.0,64002.0
2014-12-01,6,2,63.0,15241.0,29549.0
2014-12-01,7,2,262.0,5236.0,10062.0
2015-01-01,0,4,525.0,28475.0,208651.0
2015-01-01,1,4,79.0,17627.0,35964.0
2015-01-01,2,4,38.0,693.0,10010.0
2015-01-01,3,4,31.0,1409.0,12651.0
2015-01-01,4,4,79.0,24670.0,33371.0
2015-01-01,5,4,190.0,23342.0,51577.0
2015-01-01,6,4,70.0,14388.0,31448.0
2015-01-01,7,4,273.0,5812.0,10738.0
2015-02-01,0,3,504.0,36935.0,171845.0
2015-02-01,1,3,73.0,20242.0,32932.0
2015-02-01,2,3,33.0,711.0,7758.0
2015-02-01,3,3,29.0,1583.0,9993.0
2015-02-01,4,3,79.0,31434.0,32014.0
2015-02-01,5,3,208.0,30516.0,47216.0
2015-02-01,6,3,57.0,15288.0,27430.0
2015-02-01,7,3,272.0,7296.0,27572.0
2015-03-01,0,7,471.0,50087.0,175373.0
2015-03-01,1,7,69.0,23149.0,30794.0
2015-03-01,2,7,27.0,817.0,7915.0
2015-03-01,3,7,26.0,1891.0,10114.0
2015-03-01,4,7,82.0,37890.0,37890.0
2015-03-01,5,7,220.0,40787.0,51263.0
2015-03-01,6,7,65.0,20969.0,32171.0
2015-03-01,7,7,271.0,8719.0,19371.0
2015-04-01,0,0,504.0,56408.0,164776.0
2015-04-01,1,0,73.0,30868.0,31618.0
2015-04-01,2,0,26.0,947.0,8357.0
2015-04-01,3,0,36.0,2230.0,10885.0
2015-04-01,4,0,85.0,46913.0,46913.0
2015-04-01,5,0,259.0,46016.0,34954.0
2015-04-01,6,0,65.0,25851.0,34465.0
2015-04-01,7,0,263.0,8944.0,19046.0
2015-05-01,0,8,504.0,64642.0,183875.0
2015-05-01,1,8,73.0,31200.0,31200.0
2015-05-01,2,8,29.0,854.0,8663.0
2015-05-01,3,8,38.0,2104.0,13443.0
2015-05-01,4,8,98.0,51272.0,51272.0
2015-05-01,5,8,288.0,52120.0,38680.0
2015-05-01,6,8,74.0,25135.0,38599.0
2015-05-01,7,8,260.0,9425.0,22551.0
2015-06-01,0,6,596.0,69428.0,265379.0
2015-06-01,1,6,80.0,34368.0,37870.0
2015-06-01,2,6,43.0,979.0,16277.0
2015-06-01,3,6,44.0,2500.0,24017.0
2015-06-01,4,6,119.0,43043.0,45047.0
2015-06-01,5,6,271.0,55639.0,63457.0
2015-06-01,6,6,81.0,27897.0,40329.0
2015-06-01,7,6,256.0,10733.0,8903.0
2015-07-01,0,5,608.0,61530.0,341639.0
2015-07-01,1,5,92.0,35386.0,48819.0
2015-07-01,2,5,48.0,890.0,20638.0
2015-07-01,3,5,16.0,2332.0,25762.0
2015-07-01,4,5,113.0,44914.0,59634.0
2015-07-01,5,5,276.0,50023.0,69272.0
2015-07-01,6,5,95.0,29763.0,50094.0
2015-07-01,7,5,258.0,6368.0,4771.0
2015-08-01,0,1,624.0,58358.0,342684.0
2015-08-01,1,1,89.0,32070.0,48847.0
2015-08-01,2,1,47.0,487.0,21781.0
2015-08-01,3,1,45.0,2109.0,23134.0
2015-08-01,4,1,115.0,45954.0,61185.0
2015-08-01,5,1,264.0,47707.0,80918.0
2015-08-01,6,1,86.0,28096.0,50529.0
2015-08-01,7,1,269.0,6118.0,24488.0
2015-09-01,0,11,624.0,47369.0,302776.0
2015-09-01,1,11,90.0,28391.0,45197.0
2015-09-01,2,11,44.0,0.0,17777.0
2015-09-01,3,11,39.0,1845.0,20285.0
2015-09-01,4,11,92.0,38051.0,49831.0
2015-09-01,5,11,304.0,38609.0,79415.0
