Row ID,Site,Year,Month,Month Date,Usage Charges,kW,Solar Production,Total Building Energy Use kWh,Time of Use Plan Flag,On Peak kWh,Shoulder Peak kWh,Off Peak kWh,Total Net Billable,Solar Savings,SRP charges Without Solar,Owner
57,Fire Stn 219,2013,November,11/01/2013,782.64,29,737,8948,false,,,,,67.5678485999999,850.2078486,City
58,Fire Stn 220,2013,November,11/01/2013,1016.21,32,1551,12718,false,,,,,94.9331961,1111.1431961,City
59,PD Fiesta Substn,2013,November,11/01/2013,2258.14,72,26531,33098,false,,,,,447.175057099999,2705.3150571,Tesla
60,RM Multigen,2013,November,11/01/2013,7985.73,240,7167.06455,93200,false,,,,,40.5481499999987,8026.27815,Tesla
61,Solfocus,2013,November,11/01/2013,2235.59,269,6362,25587,false,,,,,1132.26010435,3367.85010435,City
62,Fire Stn 219,2013,December,12/01/2013,906.29,40,706,9796,false,,,,,73.7477031999998,980.0377032,City
63,Fire Stn 220,2013,December,12/01/2013,1016.21,26,1393,11573,false,,,,,-41.10337465,975.10662535,City
64,PD Fiesta Substn,2013,December,12/01/2013,2725.83,85,29555,39198,false,,,,,469.365388599999,3195.1953886,Tesla
65,RM Multigen,2013,December,12/01/2013,6744.02,232,5941.69111,74000,false,,,,,73.2240310000007,6817.244031,Tesla
66,Solfocus,2013,December,12/01/2013,1247.79,265,6427,21034,false,,,,,1736.2045917,2983.9945917,City
67,Fire Stn 212 PD,2014,January,01/01/2014,2487.48,82,16492,28228,false,,,,,79.0956155999998,2566.5756156,Tesla
68,Fire Stn 219,2014,January,01/01/2014,842.01,33,764,9489,false,,,,,72.2249290499998,914.23492905,City
69,Fire Stn 220,2014,January,01/01/2014,840.82,24,1546,11210,false,,,,,89.9475515,930.7675515,City
70,PD Fiesta Substn,2014,January,01/01/2014,2382.88,79,27123,34498,false,,,,,484.604060599999,2867.4840606,Tesla
71,RM Multigen,2014,January,01/01/2014,6641.92,145,29958,48859,false,,,,,-2184.02864845,4457.89135155,Tesla
72,Solfocus,2014,January,01/01/2014,1170.37,271,3987,13129,false,,,,,1209.68938145,2380.05938145,City
73,Fire Stn 212 PD,2014,February,02/01/2014,2550.251,77,17023,30360,false,,,,,69.3575004999998,2619.6085005,Tesla
74,Fire Stn 219,2014,February,02/01/2014,772.51,43,675,7864,false,,,,,84.8045131999999,857.3145132,City
75,Fire Stn 220,2014,February,02/01/2014,728.71,25,1492,9263,false,,,,,109.46486035,838.17486035,City
76,PD Fiesta Substn,2014,February,02/01/2014,2203.67,80,27994,32623,false,,,,,575.10338985,2778.77338985,Tesla
77,RM Multigen,2014,February,02/01/2014,5189.08,167,29043,31914,false,,,,,-1819.0020127,3370.0779873,Tesla
78,Solfocus,2014,February,02/01/2014,2664.63,271,2871,27899,false,,,,,897.99016995,3562.62016995,City
79,Fire Stn 212 PD,2014,March,03/01/2014,2478.17,70,23817,29625,false,,,,,15.1242687499998,2493.29426875,Tesla
80,Fire Stn 219,2014,March,03/01/2014,643.99,24,839,7540,false,,,,,73.28912,717.27912,City
81,Fire Stn 220,2014,March,03/01/2014,838.13,25,1909,11322,false,,,,,111.0598604,949.1898604,City
82,PD Fiesta Substn,2014,March,03/01/2014,2374.91,69,39076,39076,false,,,,,615.5697527,2990.4797527,Tesla
83,RM Multigen,2014,March,03/01/2014,6275.89,231,40505,32951,false,,,,,-2501.97459745,3773.91540255,Tesla
84,Solfocus,2014,March,03/01/2014,1797.01,267,4065,21000,false,,,,,1193.92205,2990.93205,City
85,Fire Stn 212 PD,2014,April,04/01/2014,2580.05,74,31747,27893,false,,,,,-130.60544665,2449.44455335,Tesla
86,Fire Stn 219,2014,April,04/01/2014,704.79,26,916,8293,false,,,,,79.38038985,784.17038985,City
87,Fire Stn 220,2014,April,04/01/2014,975.2,37,2120,12353,false,,,,,170.98110985,1146.18110985,City
88,PD Fiesta Substn,2014,April,04/01/2014,2722.27,83,44573,44573,false,,,,,737.961773849999,3460.23177385,Tesla
89,RM Multigen,2014,April,04/01/2014,7160.95,244,52678,33379,false,,,,,-3289.97890105,3870.97109895,Tesla
90,Solfocus,2014,April,04/01/2014,1379.13,262,4723,18036,false,,,,,1350.3400668,2729.4700668,City
91,Fire Stn 212 PD,2014,May,05/01/2014,2523.59,71,33263,33263,false,,,,,753.27789845,3276.86789845,Tesla
92,Fire Stn 219,2014,May,05/01/2014,933.58,26,962,9283,false,,,,,104.34711145,1037.92711145,City
93,Fire Stn 220,2014,May,05/01/2014,1422.78,34,2230,16047,false,,,,,170.71989805,1593.49989805,City
94,PD Fiesta Substn,2014,May,05/01/2014,2597.11,101,52509,52509,false,,,,,2377.70076335,4974.81076335,Tesla
95,RM Multigen,2014,May,05/01/2014,9018.83,240,56406,41549,false,,,,,-3449.9446694,5568.8853306,Tesla
96,Solfocus,2014,May,05/01/2014,2235.59,269,5160,24052,false,,,,,1673.1799063,3908.7699063,City
97,Fire Stn 212 PD,2014,June,06/01/2014,2878.94,79,35627,35684,false,,,,,0,,Tesla
98,Fire Stn 219,2014,June,06/01/2014,1587.09,37,991,16673,false,,,,,0,,City
99,Fire Stn 220,2014,June,06/01/2014,2022.99,46,2315,22704,false,,,,,0,,City
100,PD Fiesta Substn,2014,June,06/01/2014,3072.34,107,47674,48578,false,,,,,0,,Tesla
101,RM Multigen,2014,June,06/01/2014,12395.37,268,53121,81000,false,,,,,0,,Tesla
102,Solfocus,2014,June,06/01/2014,748.24,266,5175,10214,false,,,,,1712.5082041,2460.7482041,City
103,Fire Stn 212 PD,2014,July,07/01/2014,4405.72,84,36447,47623,false,,,,,0,,Tesla
104,Fire Stn 219,2014,July,07/01/2014,1977.66,39,849,17543,false,,,,,0,,City
105,Fire Stn 220,2014,July,07/01/2014,2487.97,49,2010,23141,false,,,,,0,,City
106,PD Fiesta Substn,2014,July,07/01/2014,4772.2,121,43021,58449,false,,,,,0,,Tesla
107,RM Multigen,2014,July,07/01/2014,16188.55,265,53279,106119,false,,,,,0,,Tesla
108,Solfocus,2014,July,07/01/2014,-206.65,264,7973,4542,false,,,,,0,,City
109,Fire Stn 212 PD,2014,August,08/01/2014,4462.93,94,31251,45492,false,,,,,758.8408158,5221.7708158,Tesla
110,Fire Stn 219,2014,August,08/01/2014,2133.68,43,861,18704,false,,,,,112.7845246,2246.4645246,City
111,Fire Stn 220,2014,August,08/01/2014,2481.27,49,2029,23073,false,,,,,1560.14,4041.41,City
112,PD Fiesta Substn,2014,August,08/01/2014,5021.32,117,42593,60204,false,,,,,1736.4286756,6757.7486756,Tesla
113,RM Multigen,2014,August,08/01/2014,14750.74,264,45219,94539,false,,,,,-2581.38649115,12169.35350885,Tesla
114,Solfocus,2014,August,08/01/2014,1148.21,271,8084,21893,false,,,,,0,,City
115,Fire Stn 212 PD,2014,September,09/01/2014,4000.8,89,30383,44152,false,,,,,253.3463288,4254.1463288,Tesla
116,Fire Stn 219,2014,September,09/01/2014,1724.62,40,916,18046,false,,,,,91.9185449000001,1816.5385449,City
117,Fire Stn 220,2014,September,09/01/2014,2118.47,48,2110,23523,false,,,,,172.56914745,2291.03914745,City
118,PD Fiesta Substn,2014,September,09/01/2014,4703.64,110,41328,60679,false,,,,,931.49780885,5635.13780885,Tesla
119,RM Multigen,2014,September,09/01/2014,12434.26,242,41645,94426,false,,,,,-2536.7548781,9897.5051219,Tesla
120,Solfocus,2014,September,09/01/2014,1449.85,266,6989,21125,false,,,,,2140.316545,3590.166545,City
